Name,Position,Birthdate,Foot,Height,Nationality,Club,Year,Path,ID,Birth_Day,Birth_Month,Birth_Year
Adem Kouraichi,Milieu offensif,3 avr. 2002 (22),,"1,74m",Tunisie,union sportive de ben guerdane,2024,/adem-kouraichi/profil/spieler/758543,758543,3,avr.,2002
Adnene Yaakoubi,Milieu offensif,- (-),,,Tunisie,union sportive de ben guerdane,2024,/adnene-yaakoubi/marktwertverlauf/spieler/1242096,1242096,,,
Ayoub Chaabane,Milieu gauche,18 juil. 1999 (25),left,"1,73m",Tunisie,union sportive de ben guerdane,2024,/ayoub-chaabane/marktwertverlauf/spieler/847493,847493,18,juil.,1999
Oussema Amri,Milieu,- (-),,,Tunisie,union sportive de ben guerdane,2024,/oussema-amri/profil/spieler/1264285,1264285,,,
Jassem Abcha,Milieu défensif,18 oct. 2001 (23),right,,Tunisie,union sportive de ben guerdane,2024,/jassem-abcha/marktwertverlauf/spieler/805320,805320,18,oct.,2001
Oussama Bouzaiene,Défenseur central,19 avr. 2001 (23),right,"1,79m",Tunisie,es hammam sousse,2024,/oussama-bouzaiene/profil/spieler/1013418,1013418,19,avr.,2001
Mohamed Amine Dinari,Arrière gauche,14 nov. 2002 (22),,,Tunisie,etoile sportive metlaoui,2024,/mohamed-amine-dinari/marktwertverlauf/spieler/863525,863525,14,nov.,2002
Youssri Arfaoui,Défenseur central,14 juil. 1993 (31),right,"1,90m",Tunisie,etoile sportive metlaoui,2024,/youssri-arfaoui/marktwertverlauf/spieler/329286,329286,14,juil.,1993
Mohamed Hachem Khelifa,Défenseur central,29 avr. 1994 (30),,,Tunisie,etoile sportive metlaoui,2024,/mohamed-hachem-khelifa/marktwertverlauf/spieler/1076208,1076208,29,avr.,1994
Saddam Ben Aziza,Défenseur central,8 févr. 1991 (34),right,,Tunisie,etoile sportive metlaoui,2024,/saddam-ben-aziza/marktwertverlauf/spieler/170336,170336,8,févr.,1991
Mounir Jelassi,Défenseur central,18 juin 2004 (20),,,Tunisie,etoile sportive metlaoui,2024,/mounir-jelassi/marktwertverlauf/spieler/1123268,1123268,18,juin,2004
Chiheb Aouadi,Défenseur central,18 déc. 1998 (26),left,,Tunisie,etoile sportive metlaoui,2024,/chiheb-aouadi/marktwertverlauf/spieler/610277,610277,18,déc.,1998
Ahmed Mazhoud,Arrière gauche,31 mai 1997 (27),left,,Tunisie,etoile sportive metlaoui,2024,/ahmed-mazhoud/marktwertverlauf/spieler/552273,552273,31,mai,1997
Hamdi Helal,Arrière droit,7 mai 1993 (31),right,"1,79m",Tunisie,etoile sportive metlaoui,2024,/hamdi-helal/marktwertverlauf/spieler/1069433,1069433,7,mai,1993
Sabri Galai,Arrière gauche,25 mai 2000 (24),left,"1,87m",Tunisie,es hammam sousse,2024,/sabri-galai/profil/spieler/898360,898360,25,mai,2000
Sassi Oueslati,Milieu défensif,8 oct. 1996 (28),,,Tunisie,etoile sportive metlaoui,2024,/sassi-oueslati/marktwertverlauf/spieler/758514,758514,8,oct.,1996
Ited Fajraoui,Milieu,4 mars 2003 (21),,,Tunisie,etoile sportive metlaoui,2024,/ited-fajraoui/marktwertverlauf/spieler/1076209,1076209,4,mars,2003
Mounir Romdhani,Milieu,27 août 2002 (22),,,Tunisie,etoile sportive metlaoui,2024,/mounir-romdhani/marktwertverlauf/spieler/1077539,1077539,27,août,2002
Ayoub Khelifi,Milieu,2 févr. 2003 (22),,,Tunisie,etoile sportive metlaoui,2024,/ayoub-khelifi/marktwertverlauf/spieler/1078294,1078294,2,févr.,2003
Mohamed Aziz Kortas,Défense,16 mai 2000 (24),,,Tunisie,etoile sportive metlaoui,2024,/mohamed-aziz-kortas/marktwertverlauf/spieler/868862,868862,16,mai,2000
Abdelkader Hannoun,Défense,18 déc. 2002 (22),,,Tunisie,etoile sportive metlaoui,2024,/abdelkader-hannoun/marktwertverlauf/spieler/1086612,1086612,18,déc.,2002
Ali Yahiaoui,Gardien de but,12 janv. 1999 (26),,,Tunisie,etoile sportive metlaoui,2024,/ali-yahiaoui/profil/spieler/845058,845058,12,janv.,1999
Hamza Ben Cherifia,Gardien de but,17 juil. 1996 (28),right,"1,81m",Tunisie,etoile sportive metlaoui,2024,/hamza-ben-cherifia/marktwertverlauf/spieler/295380,295380,17,juil.,1996
Abdelmouhib Chamakh,Gardien de but,25 août 2001 (23),,,Tunisie,etoile sportive metlaoui,2024,/abdelmouhib-chamakh/marktwertverlauf/spieler/584250,584250,25,août,2001
Ayoub Ben Salah,Attaquant,25 juil. 1995 (29),,,Tunisie,es hammam sousse,2024,/ayoub-ben-salah/profil/spieler/1113818,1113818,25,juil.,1995
Zahreddine Dahmane,Ailier droit,26 mai 1995 (29),right,"1,80m",Tunisie,es hammam sousse,2024,/zahreddine-dahmane/profil/spieler/565863,565863,26,mai,1995
Fedi Felhi,Ailier droit,2 mars 1996 (28),right,,Tunisie,es hammam sousse,2024,/fedi-felhi/profil/spieler/449533,449533,2,mars,1996
Mossaab Sassi,Milieu offensif,12 mars 1990 (34),left,"1,84m",Tunisie,es hammam sousse,2024,/mossaab-sassi/profil/spieler/133030,133030,12,mars,1990
Alaeddine Abbès,Milieu offensif,6 févr. 1990 (35),right,"1,75m",Tunisie,es hammam sousse,2024,/alaeddine-abbes/profil/spieler/147238,147238,6,févr.,1990
Iteb Handoussi,Milieu central,- (-),,,Tunisie,es hammam sousse,2024,/iteb-handoussi/profil/spieler/951598,951598,,,
Mohamed Amine Abid,Milieu,- (-),,,Tunisie,es hammam sousse,2024,/mohamed-amine-abid/profil/spieler/1113870,1113870,,,
Marouene Terd,Milieu défensif,10 mai 1993 (31),right,"1,86m",Tunisie,es hammam sousse,2024,/marouene-terd/profil/spieler/465739,465739,10,mai,1993
Montasser Frej,Milieu,- (-),,,Tunisie,es hammam sousse,2024,/montasser-frej/profil/spieler/1107015,1107015,,,
Wassim Jaballah,Milieu,14 janv. 2003 (22),,,Tunisie,es hammam sousse,2024,/wassim-jaballah/profil/spieler/1106779,1106779,14,janv.,2003
Ahmed Ben Said,Milieu,16 févr. 2001 (23),,,Tunisie,es hammam sousse,2024,/ahmed-ben-said/profil/spieler/1103102,1103102,16,févr.,2001
Khalil Mechergui,Milieu défensif,5 juin 1994 (30),,,Tunisie,es hammam sousse,2024,/khalil-mechergui/profil/spieler/375175,375175,5,juin,1994
Iyadh Akrout,Milieu,1 janv. 2006 (19),,,Tunisie,union sportive de ben guerdane,2024,/iyadh-akrout/marktwertverlauf/spieler/1264283,1264283,1,janv.,2006
Houssem Eddine Souissi,Milieu défensif,20 oct. 1997 (27),right,,Tunisie,union sportive de ben guerdane,2024,/houssem-eddine-souissi/marktwertverlauf/spieler/564524,564524,20,oct.,1997
Dhiaeddine Jebli,Avant-centre,- (-),,,Tunisie,as soliman,2024,/dhiaeddine-jebli/marktwertverlauf/spieler/1316270,1316270,,,
Jasser Yaakoubi,Ailier droit,4 mars 2002 (22),,,Tunisie,as soliman,2024,/jasser-yaakoubi/marktwertverlauf/spieler/1103818,1103818,4,mars,2002
Salmen Trabelsi,Ailier droit,1 janv. 2004 (21),,,Tunisie,as soliman,2024,/salmen-trabelsi/marktwertverlauf/spieler/1210567,1210567,1,janv.,2004
Mohamed Aziz Rebai,Milieu,- (-),,,Tunisie,as soliman,2024,/mohamed-aziz-rebai/marktwertverlauf/spieler/1216999,1216999,,,
Ahmed Mouati,Milieu offensif,- (-),,,Tunisie,as soliman,2024,/ahmed-mouati/profil/spieler/1361234,1361234,,,
Montassar Triki,Milieu central,29 août 2001 (23),right,"1,83m",Tunisie,as soliman,2024,/montassar-triki/marktwertverlauf/spieler/841500,841500,29,août,2001
Aymen Jemai,Milieu,- (-),,,Tunisie,as soliman,2024,/aymen-jemai/profil/spieler/1371307,1371307,,,
Sofiane Ben Mansour,Attaquant,- (-),,,Tunisie,as soliman,2024,/sofiane-ben-mansour/marktwertverlauf/spieler/1191168,1191168,,,
Yassine Hamrouni,Attaquant,- (-),,,Tunisie,as soliman,2024,/yassine-hamrouni/marktwertverlauf/spieler/1316269,1316269,,,
Wael Abdi,Défense,- (-),,,Tunisie,union sportive de ben guerdane,2024,/wael-abdi/profil/spieler/1373353,1373353,,,
Siraj Helal,Défense,- (-),,,Tunisie,union sportive de ben guerdane,2024,/siraj-helal/profil/spieler/1356809,1356809,,,
Rayane Chaibi,Défense,- (-),,,Tunisie,union sportive de ben guerdane,2024,/rayane-chaibi/marktwertverlauf/spieler/1267637,1267637,,,
Iyed Touis,Défense,1 janv. 2006 (19),,,Tunisie,union sportive de ben guerdane,2024,/iyed-touis/marktwertverlauf/spieler/1264284,1264284,1,janv.,2006
Bacem Zemzem,Gardien de but,12 juil. 2001 (23),,,Tunisie,union sportive de ben guerdane,2024,/bacem-zemzem/profil/spieler/1107377,1107377,12,juil.,2001
Mohamed Bechir Abbassi,Gardien de but,4 janv. 2003 (22),,,Tunisie,union sportive de ben guerdane,2024,/mohamed-bechir-abbassi/marktwertverlauf/spieler/1063398,1063398,4,janv.,2003
Noureddine Farhati,Gardien de but,14 sept. 2000 (24),right,"1,88m",Tunisie,union sportive de ben guerdane,2024,/noureddine-farhati/marktwertverlauf/spieler/679463,679463,14,sept.,2000
Anis Ben Youssef,Goalkeeper,- (-),,,Tunisie,as marsa,2024,/anis-ben-youssef/profil/spieler/1178782,1178782,,,
Mohamed Aziz Chaouch,Defender,- (-),,,Tunisie,as marsa,2024,/mohamed-aziz-chaouch/profil/spieler/1176856,1176856,,,
Anouar Debbiche,Milieu,- (-),,,Tunisie,as soliman,2024,/anouar-debbiche/marktwertverlauf/spieler/1178753,1178753,,,
Zied Machmoum,Arrière droit,18 janv. 1993 (32),right,"1,79m",Tunisie,union sportive de ben guerdane,2024,/zied-machmoum/marktwertverlauf/spieler/215637,215637,18,janv.,1993
Mohamed Aziz Nsibi,Gardien de but,15 nov. 2003 (21),,,Tunisie,as soliman,2024,/mohamed-aziz-nsibi/marktwertverlauf/spieler/1107376,1107376,15,nov.,2003
Aziz Ben Mohamed,Défenseur central,17 nov. 1998 (26),right,"1,90m",Tunisie,as soliman,2024,/aziz-ben-mohamed/marktwertverlauf/spieler/547761,547761,17,nov.,1998
Hamza Mabrouk,Défenseur central,19 sept. 1993 (31),right,"1,85m",Tunisie,as soliman,2024,/hamza-mabrouk/marktwertverlauf/spieler/252745,252745,19,sept.,1993
Amanallah Souassi,Défense,16 déc. 2002 (22),,,Tunisie,as soliman,2024,/amanallah-souassi/marktwertverlauf/spieler/1107010,1107010,16,déc.,2002
Mohamed Ali Maatallah,Défense,- (-),,,Tunisie,as soliman,2024,/mohamed-ali-maatallah/marktwertverlauf/spieler/1316271,1316271,,,
Jamel Helal,Gardien de but,21 juil. 2003 (21),,,Tunisie,as soliman,2024,/jamel-helal/marktwertverlauf/spieler/1138947,1138947,21,juil.,2003
Omar Belgacem,Gardien de but,1 janv. 2005 (20),,,Tunisie,as soliman,2024,/omar-belgacem/marktwertverlauf/spieler/1316268,1316268,1,janv.,2005
Hamza Ghanmi,Gardien de but,15 avr. 1998 (26),right,"1,93m",Tunisie,as soliman,2024,/hamza-ghanmi/marktwertverlauf/spieler/577882,577882,15,avr.,1998
Iheb El Abed,Milieu défensif,- (-),,,Tunisie,as soliman,2024,/iheb-el-abed/marktwertverlauf/spieler/1323720,1323720,,,
Skander Labidi,Défenseur central,13 mai 1999 (25),right,"1,83m",Tunisie,union sportive de ben guerdane,2024,/skander-labidi/marktwertverlauf/spieler/435353,435353,13,mai,1999
Rayane Haddad,Défenseur central,1 févr. 2003 (22),,,Tunisie,union sportive de ben guerdane,2024,/rayane-haddad/marktwertverlauf/spieler/862944,862944,1,févr.,2003
Adem Taous,Arrière gauche,21 juil. 2000 (24),left,"1,79m",Tunisie,union sportive de ben guerdane,2024,/adem-taous/marktwertverlauf/spieler/648846,648846,21,juil.,2000
Ghazi Abderrazzak,Arrière gauche,16 oct. 1986 (38),left,"1,76m",Tunisie,union sportive de ben guerdane,2024,/ghazi-abderrazzak/marktwertverlauf/spieler/122341,122341,16,oct.,1986
Jaouhar Ben Hassen,Arrière droit,15 août 1997 (27),right,"1,82m",Tunisie,union sportive de ben guerdane,2024,/jaouhar-ben-hassen/marktwertverlauf/spieler/537135,537135,15,août,1997
Mohamed Lahbib Yeken,Arrière droit,9 mars 1994 (30),right,"1,83m",Tunisie,union sportive de ben guerdane,2024,/mohamed-lahbib-yeken/marktwertverlauf/spieler/315001,315001,9,mars,1994
Oussama Hichri,Défenseur central,17 janv. 2000 (25),,,Tunisie,as soliman,2024,/oussama-hichri/marktwertverlauf/spieler/1018064,1018064,17,janv.,2000
Mohamed Aziz Boucetta,Défenseur central,30 nov. 1997 (27),right,"1,86m",Tunisie,as soliman,2024,/mohamed-aziz-boucetta/marktwertverlauf/spieler/581162,581162,30,nov.,1997
Mohamed Firas Amri,Défenseur central,11 nov. 2002 (22),right,"1,91m",Tunisie,as soliman,2024,/mohamed-firas-amri/marktwertverlauf/spieler/836052,836052,11,nov.,2002
Firas Mejri,Défenseur central,- (-),,,Tunisie,as soliman,2024,/firas-mejri/marktwertverlauf/spieler/1258277,1258277,,,
Amanallah Mjahed,Arrière gauche,8 juil. 2003 (21),left,,Tunisie,as soliman,2024,/amanallah-mjahed/marktwertverlauf/spieler/1008462,1008462,8,juil.,2003
Amir Mosbahi,Arrière gauche,- (-),,,Tunisie,as soliman,2024,/amir-mosbahi/marktwertverlauf/spieler/1316272,1316272,,,
Mohamed Amine Helal,Arrière gauche,26 août 2001 (23),,,Tunisie,as soliman,2024,/mohamed-amine-helal/marktwertverlauf/spieler/949178,949178,26,août,2001
Jassem Belkilani,Arrière gauche,2 févr. 2001 (24),left,"1,72m",Tunisie,as soliman,2024,/jassem-belkilani/marktwertverlauf/spieler/983496,983496,2,févr.,2001
Ghassen Maatougui,Arrière droit,1 janv. 2004 (21),,,Tunisie,as soliman,2024,/ghassen-maatougui/marktwertverlauf/spieler/1323711,1323711,1,janv.,2004
Helmi Jouidi,Arrière droit,27 janv. 1998 (27),right,"1,78m",Tunisie,as soliman,2024,/helmi-jouidi/marktwertverlauf/spieler/569962,569962,27,janv.,1998
Bassem Triki,Milieu défensif,13 avr. 1994 (30),right,,Tunisie,as soliman,2024,/bassem-triki/marktwertverlauf/spieler/650260,650260,13,avr.,1994
Moataz Kfaya,Milieu,2 févr. 2003 (22),,,Tunisie,as soliman,2024,/moataz-kfaya/marktwertverlauf/spieler/1123376,1123376,2,févr.,2003
Wael Mhadhebi,Milieu,- (-),,,Tunisie,as soliman,2024,/wael-mhadhebi/marktwertverlauf/spieler/1206446,1206446,,,
Kossai Tlili,Milieu,27 août 2002 (22),,,Tunisie,etoile sportive metlaoui,2024,/kossai-tlili/profil/spieler/1100829,1100829,27,août,2002
Souhail Bouani,Milieu,6 juin 2003 (21),,,Tunisie,etoile sportive metlaoui,2024,/souhail-bouani/profil/spieler/1145968,1145968,6,juin,2003
Nidhal Laifi,Arrière gauche,1 mai 1998 (26),left,"1,82m",Tunisie,stade tunisien,2024,/nidhal-laifi/marktwertverlauf/spieler/564882,564882,1,mai,1998
Mohamed Iyadh Riahi,Arrière droit,21 déc. 2005 (19),,,Tunisie,stade tunisien,2024,/mohamed-iyadh-riahi/marktwertverlauf/spieler/1137935,1137935,21,déc.,2005
Wael Ouerghemmi,Arrière droit,21 avr. 2003 (21),right,,Tunisie,stade tunisien,2024,/wael-ouerghemmi/marktwertverlauf/spieler/1021112,1021112,21,avr.,2003
Hedi Khalfa,Arrière droit,16 janv. 1994 (31),right,,Tunisie,stade tunisien,2024,/hedi-khalfa/marktwertverlauf/spieler/348146,348146,16,janv.,1994
Mohamed Amine Ben Zaghada,Arrière gauche,7 juil. 2001 (23),left,"1,79m",Tunisie,stade tunisien,2024,/mohamed-amine-ben-zaghada/marktwertverlauf/spieler/782971,782971,7,juil.,2001
Adem Arous,Défenseur central,17 juil. 2004 (20),,"1,88m",Tunisie,stade tunisien,2024,/adem-arous/marktwertverlauf/spieler/1071742,1071742,17,juil.,2004
Sami Helal,Gardien de but,19 oct. 1988 (36),right,"1,80m",Tunisie,stade tunisien,2024,/sami-helal/marktwertverlauf/spieler/206758,206758,19,oct.,1988
Chamseddine Jrid,Défense,- (-),,,Tunisie,stade tunisien,2024,/chamseddine-jrid/profil/spieler/1336339,1336339,,,
Ahmed Braiek,Gardien de but,- (-),,,Tunisie,stade tunisien,2024,/ahmed-braiek/profil/spieler/1107016,1107016,,,
Mehdi Ben Mrad,Gardien de but,6 juin 1998 (26),,,Tunisie,stade tunisien,2024,/mehdi-ben-mrad/marktwertverlauf/spieler/569960,569960,6,juin,1998
Obaid Chabbi,Milieu,- (-),,,Tunisie,stade tunisien,2024,/obaid-chabbi/profil/spieler/1336340,1336340,,,
Ghazi Ayadi,Milieu central,19 juil. 1996 (28),right,"1,79m",Tunisie,stade tunisien,2024,/ghazi-ayadi/marktwertverlauf/spieler/305699,305699,19,juil.,1996
Yassine Ridane,Milieu central,7 janv. 2001 (24),right,,Tunisie,stade tunisien,2024,/yassine-ridane/profil/spieler/648685,648685,7,janv.,2001
Skander Chihi,Milieu gauche,26 avr. 1995 (29),left,"1,85m",Tunisie,stade tunisien,2024,/skander-chihi/marktwertverlauf/spieler/304142,304142,26,avr.,1995
Yosr Azzoussine,Milieu offensif,1 janv. 2001 (24),,,Tunisie,stade tunisien,2024,/yosr-azzoussine/profil/spieler/870178,870178,1,janv.,2001
Sajed Ferchichi,Ailier gauche,15 mars 2004 (20),right,"1,74m",Tunisie,stade tunisien,2024,/sajed-ferchichi/marktwertverlauf/spieler/1137936,1137936,15,mars,2004
Khalil Ayari,Ailier gauche,2 févr. 2005 (20),,,Tunisie,stade tunisien,2024,/khalil-ayari/marktwertverlauf/spieler/1198342,1198342,2,févr.,2005
Moncef Gharbi,Ailier gauche,4 mai 2006 (18),right,"1,80m",Tunisie,stade tunisien,2024,/moncef-gharbi/marktwertverlauf/spieler/1257699,1257699,4,mai,2006
Bilel Mejri,Ailier droit,6 févr. 1996 (29),right,"1,79m",Tunisie,stade tunisien,2024,/bilel-mejri/marktwertverlauf/spieler/441208,441208,6,févr.,1996
Youssef Saafi,Ailier droit,22 déc. 1998 (26),left,,Tunisie,stade tunisien,2024,/youssef-saafi/marktwertverlauf/spieler/663461,663461,22,déc.,1998
Sadok Kadida,Avant-centre,2 déc. 2003 (21),,,Tunisie,stade tunisien,2024,/sadok-kadida/marktwertverlauf/spieler/942107,942107,2,déc.,2003
Zied Berrima,Avant-centre,9 avr. 2001 (23),right,"1,81m",Tunisie,stade tunisien,2024,/zied-berrima/marktwertverlauf/spieler/645530,645530,9,avr.,2001
Nacef Atoui,Avant-centre,6 avr. 1999 (25),right,"1,74m",Tunisie,stade tunisien,2024,/nacef-atoui/marktwertverlauf/spieler/847252,847252,6,avr.,1999
Atef Dkhili,Gardien de but,4 avr. 1990 (34),right,"1,85m",Tunisie,stade tunisien,2024,/atef-dkhili/marktwertverlauf/spieler/133067,133067,4,avr.,1990
Anis Lakhel,Milieu,11 oct. 2003 (21),,,Tunisie,etoile sportive metlaoui,2024,/anis-lakhel/profil/spieler/1146015,1146015,11,oct.,2003
Nabil Slimane,Central Midfield,- (-),,,Tunisie,es beni khalled,2024,/nabil-slimane/profil/spieler/754262,754262,,,
Marouane Agrebi,Midfielder,- (-),,,Tunisie,es beni khalled,2024,/marouane-agrebi/profil/spieler/159324,159324,,,
Mohamed Firas Salhi,Right-Back,- (-),,,Tunisie,es beni khalled,2024,/mohamed-firas-salhi/profil/spieler/648856,648856,,,
Yassine Ben Khaled,Avant-centre,26 févr. 2003 (21),right,"1,82m",Tunisie,stade tunisien,2024,/yassine-ben-khaled/profil/spieler/1021113,1021113,26,févr.,2003
Mazen Ben Daoud,Attaquant,10 févr. 2004 (20),,,Tunisie,stade tunisien,2024,/mazen-ben-daoud/profil/spieler/1145967,1145967,10,févr.,2004
Yassine Berchani,Milieu défensif,23 sept. 2000 (24),,,Tunisie,avenir sportif de kasserine,2024,/yassine-berchani/profil/spieler/1111711,1111711,23,sept.,2000
Yahia Achouri,Ailier gauche,21 avr. 2001 (23),right,"1,79m",Tunisie,avenir sportif de kasserine,2024,/yahia-achouri/profil/spieler/1021440,1021440,21,avr.,2001
Hassen Mouelhi,Ailier gauche,28 janv. 1993 (32),right,"1,82m",Tunisie,avenir sportif de kasserine,2024,/hassen-mouelhi/profil/spieler/1111735,1111735,28,janv.,1993
Mootez Abou Kacem,Milieu offensif,- (-),right,,Tunisie,avenir sportif de kasserine,2024,/mootez-abou-kacem/profil/spieler/1021439,1021439,,,
Amine Stiti,Milieu offensif,16 sept. 1992 (32),,,Tunisie,avenir sportif de kasserine,2024,/amine-stiti/profil/spieler/565744,565744,16,sept.,1992
Mohamed Aziz Ouerfelli,Milieu central,23 mars 2002 (22),,,Tunisie,avenir sportif de kasserine,2024,/mohamed-aziz-ouerfelli/profil/spieler/878790,878790,23,mars,2002
Hichem Balti,Milieu central,12 mai 1998 (26),,,Tunisie,avenir sportif de kasserine,2024,/hichem-balti/marktwertverlauf/spieler/1287457,1287457,12,mai,1998
Oussama Harkati,Milieu,- (-),,,Tunisie,avenir sportif de kasserine,2024,/oussama-harkati/profil/spieler/1111120,1111120,,,
Najd Dabbebi,Attaquant,- (-),,,Tunisie,stade tunisien,2024,/najd-dabbebi/profil/spieler/1324796,1324796,,,
Firas Beltibi,Milieu,12 janv. 2001 (24),,,Tunisie,avenir sportif de kasserine,2024,/firas-beltibi/profil/spieler/1021438,1021438,12,janv.,2001
Bilel Fakraoui,Milieu,- (-),,,Tunisie,avenir sportif de kasserine,2024,/bilel-fakraoui/profil/spieler/1021437,1021437,,,
Sami El Abed,Milieu défensif,20 nov. 1997 (27),,,Tunisie,avenir sportif de kasserine,2024,/sami-el-abed/profil/spieler/663454,663454,20,nov.,1997
Mohamed Amine Ben Messaoued,Milieu défensif,1 janv. 1997 (28),left,"1,78m",Tunisie,avenir sportif de kasserine,2024,/mohamed-amine-ben-messaoued/profil/spieler/648510,648510,1,janv.,1997
Ibrahim Nasri,Milieu,- (-),,,Tunisie,avenir sportif de kasserine,2024,/ibrahim-nasri/profil/spieler/415468,415468,,,
Issam Dkhili,Milieu défensif,27 janv. 1992 (33),right,"1,84m",Tunisie,avenir sportif de kasserine,2024,/issam-dkhili/profil/spieler/399720,399720,27,janv.,1992
Sadok Ben Salem,Avant-centre,15 oct. 1987 (37),,,Tunisie,avenir sportif de kasserine,2024,/sadok-ben-salem/profil/spieler/700761,700761,15,oct.,1987
Kossai Rahimi,Attaquant,- (-),,,Tunisie,avenir sportif de kasserine,2024,/kossai-rahimi/profil/spieler/1021441,1021441,,,
Rouid Dkhillali,Attaquant,- (-),,,Tunisie,avenir sportif de kasserine,2024,/rouid-dkhillali/profil/spieler/1110970,1110970,,,
Ali Barhoumi,Avant-centre,- (-),,,Tunisie,etoile sportive metlaoui,2024,/ali-barhoumi/profil/spieler/1233773,1233773,,,
Nassim Chachia,Avant-centre,7 févr. 1997 (28),left,,Tunisie,etoile sportive metlaoui,2024,/nassim-chachia/marktwertverlauf/spieler/693030,693030,7,févr.,1997
Ahmed Bouassida,Avant-centre,9 juil. 2004 (20),right,"1,92m",Tunisie,etoile sportive metlaoui,2024,/ahmed-bouassida/marktwertverlauf/spieler/1161133,1161133,9,juil.,2004
Bacem Hajji,Attaquant,27 déc. 1996 (28),,,Tunisie,etoile sportive metlaoui,2024,/bacem-hajji/marktwertverlauf/spieler/1076212,1076212,27,déc.,1996
Abderrazak Ben Ammar,Ailier droit,5 juil. 2002 (22),left,"1,83m",Tunisie,etoile sportive metlaoui,2024,/abderrazak-ben-ammar/marktwertverlauf/spieler/1023355,1023355,5,juil.,2002
